Sys_time,laccx,y,z,lacc_accu,grax,y,z,gra_accu,gyrx,y,z,gyr_accu,accx,y,z,acc_accu,magx,y,z,mag_accu,ori,rv_x,rv_y,rv_z,rv_s,rv_head_acc,rv_accu,gamerv_x,gamerv_y,gamerv_z,gamerv_s,gamerv_accu,lon,lat,speed,bearing,gps_time,step
1649404076343,0.4693,0.4258,-1.1084,3.00,0.0280,1.1849,9.7348,3.00,0.1449,0.0101,0.0391,3.00,0.6494,1.8183,8.2848,3.00,29.9144,-3.5258,-48.5316,3.00,280.7760,0.0187,0.0559,0.9538,0.2948,0.00,3.00,0.0465,0.0387,0.6562,0.7522,3.00,116.332157,39.950710,0.4600,256.7000,1649404076000,0.0
1649404076362,0.6321,0.6303,-1.4375,3.00,0.0174,1.1895,9.7342,3.00,0.0032,0.0681,-0.0104,3.00,0.8601,1.9644,8.7169,3.00,30.1096,-3.5868,-48.3608,3.00,280.4218,0.0191,0.0574,0.9543,0.2926,0.00,3.00,0.0464,0.0393,0.6565,0.7519,3.00,116.332157,39.950710,0.4600,256.7000,1649404076000,0.0
1649404076381,0.8826,0.7872,-1.0021,3.00,-0.0225,1.1791,9.7355,3.00,-0.0744,0.2135,-0.0654,3.00,0.2460,1.7453,9.3897,3.00,30.2682,-3.6112,-48.2144,3.00,279.2080,0.0186,0.0578,0.9546,0.2916,0.00,3.00,0.0446,0.0405,0.6564,0.7520,3.00,116.332157,39.950710,0.4600,256.7000,1649404076000,0.0
1649404076400,0.3145,0.5657,-0.3275,3.00,-0.0686,1.1818,9.7349,3.00,-0.0017,0.2379,-0.0006,3.00,-0.1670,1.6663,9.4938,3.00,30.4878,-3.6844,-48.1534,3.00,279.1727,0.0165,0.0579,0.9548,0.2910,0.00,3.00,0.0432,0.0423,0.6560,0.7524,3.00,116.332157,39.950710,0.4600,256.7000,1649404076000,0.0
1649404076419,-0.0897,0.4579,-0.2189,3.00,-0.0774,1.2107,9.7313,3.00,0.1321,0.0504,0.0690,3.00,0.0533,1.8447,9.1239,3.00,30.4878,-3.6844,-48.1534,3.00,280.8470,0.0142,0.0588,0.9551,0.2901,0.00,3.00,0.0440,0.0436,0.6561,0.7521,3.00,116.332157,39.950710,0.4600,256.7000,1649404076000,0.0
1649404076439,0.1200,0.6118,-0.5833,3.00,-0.0669,1.2356,9.7283,3.00,0.1064,-0.0394,0.0843,3.00,0.0341,1.8267,8.9767,3.00,30.5732,-3.7210,-48.1046,3.00,280.9003,0.0141,0.0603,0.9554,0.2888,0.00,3.00,0.0453,0.0441,0.6567,0.7515,3.00,116.332157,39.950710,0.4600,256.7000,1649404076000,0.0
1649404076459,0.1074,0.5941,-0.7272,3.00,-0.0735,1.2357,9.7282,3.00,-0.0176,0.0559,0.1588,3.00,-0.2436,1.7908,9.5920,3.00,30.6586,-3.7820,-48.0680,3.00,280.0984,0.0149,0.0614,0.9558,0.2873,0.00,3.00,0.0450,0.0444,0.6573,0.7510,3.00,116.332157,39.950710,0.4600,256.7000,1649404076000,0.0
1649404076479,-0.1506,0.5506,-0.1106,3.00,-0.0932,1.2433,9.7271,3.00,0.0215,0.1304,0.2798,3.00,-0.3370,1.8099,10.2084,3.00,30.7806,-3.8796,-48.0314,3.00,279.2138,0.0144,0.0616,0.9564,0.2850,0.00,3.00,0.0446,0.0455,0.6585,0.7499,3.00,116.332157,39.950710,0.4600,256.7000,1649404076000,0.0
1649404076499,-0.2285,0.5298,0.5083,3.00,-0.1087,1.2830,9.7217,3.00,0.1834,0.1219,0.3861,3.00,0.0066,2.2289,10.0480,3.00,30.8782,-3.9406,-48.0070,3.00,281.9555,0.0134,0.0623,0.9574,0.2816,0.00,3.00,0.0455,0.0476,0.6606,0.7479,3.00,116.332157,39.950710,0.4600,256.7000,1649404076000,0.0
1649404076518,0.1238,0.8902,0.3535,3.00,-0.1174,1.3414,9.7138,3.00,0.2665,0.1011,0.4032,3.00,0.1754,2.6838,9.5680,3.00,31.0002,-4.0992,-47.9460,3.00,285.5084,0.0129,0.0645,0.9586,0.2772,0.00,3.00,0.0472,0.0501,0.6635,0.7450,3.00,116.332157,39.950710,0.4600,256.7000,1649404076000,0.0
1649404076538,0.1238,0.8902,0.3535,3.00,-0.1174,1.3414,9.7138,3.00,0.2665,0.1011,0.4032,3.00,0.1754,2.6838,9.5680,3.00,31.0002,-4.0992,-47.9460,3.00,285.5084,0.0129,0.0645,0.9586,0.2772,0.00,3.00,0.0472,0.0501,0.6635,0.7450,3.00,116.332157,39.950710,0.4600,256.7000,1649404076000,0.0
1649404076557,0.1547,1.3731,-0.1240,3.00,-0.1580,1.4272,9.7010,3.00,0.1474,0.1756,0.3952,3.00,-0.2005,2.5449,10.3126,3.00,31.1466,-4.6604,-47.9582,3.00,283.2380,0.0124,0.0703,0.9608,0.2678,0.00,3.00,0.0487,0.0550,0.6694,0.7393,3.00,116.332157,39.950710,0.4600,256.7000,1649404076000,0.0
1649404076576,-0.0431,1.0597,0.6353,3.00,-0.1577,1.4874,9.6919,3.00,0.2714,0.0626,0.4331,3.00,-0.1646,2.1307,10.9674,3.00,31.2198,-4.9410,-47.8606,3.00,278.1445,0.0115,0.0725,0.9620,0.2632,0.00,3.00,0.0507,0.0572,0.6724,0.7363,3.00,116.332157,39.950710,0.4600,256.7000,1649404076000,0.0
1649404076596,-0.0176,0.5679,1.2952,3.00,-0.1471,1.5641,9.6800,3.00,0.3697,0.0101,0.4019,3.00,0.6865,2.1008,10.5735,3.00,31.3052,-5.2826,-47.8240,3.00,276.1587,0.0119,0.0756,0.9630,0.2583,0.00,3.00,0.0537,0.0597,0.6755,0.7330,3.00,116.332157,39.950710,0.4600,256.7000,1649404076000,0.0
1649404076615,-0.0176,0.5679,1.2952,3.00,-0.1471,1.5641,9.6800,3.00,0.1358,0.1726,0.1851,3.00,0.7727,1.7788,9.6003,3.00,31.3540,-5.7096,-47.7630,3.00,274.1979,0.0119,0.0756,0.9630,0.2583,0.00,3.00,0.0537,0.0597,0.6755,0.7330,3.00,116.332157,39.950710,0.4600,256.7000,1649404076000,0.0
1649404076634,0.8575,0.5079,0.9018,3.00,-0.1710,1.5934,9.6748,3.00,0.1358,0.1726,0.1851,3.00,0.7727,1.7788,9.6003,3.00,31.4882,-6.0390,-47.6898,3.00,273.6334,0.0131,0.0793,0.9639,0.2539,0.00,3.00,0.0538,0.0619,0.6783,0.7302,3.00,116.332157,39.950710,0.4600,256.7000,1649404076000,0.0
1649404076653,1.0054,0.2625,-0.0821,3.00,-0.2328,1.5169,9.6858,3.00,-0.3914,0.3344,-0.0086,3.00,-0.1466,0.9576,9.8110,3.00,31.6590,-6.3196,-47.6532,3.00,267.0115,0.0121,0.0811,0.9644,0.2513,0.00,3.00,0.0486,0.0616,0.6798,0.7291,3.00,116.332157,39.950710,0.4600,256.7000,1649404076000,0.0
1649404076673,0.1655,-0.4053,0.1078,3.00,-0.3123,1.3634,9.7064,3.00,-0.7579,0.3931,-0.0684,3.00,-1.0157,0.1029,11.8544,3.00,31.8176,-6.3806,-47.6166,3.00,257.8571,0.0080,0.0781,0.9649,0.2505,0.00,3.00,0.0401,0.0592,0.6803,0.7294,3.00,116.332157,39.950710,0.4600,256.7000,1649404076000,0.0
1649404076692,-0.6129,-1.1263,2.1266,3.00,-0.4025,1.2284,9.7211,3.00,-0.6431,0.4444,0.0470,3.00,-1.8321,-0.4776,13.6236,3.00,32.0372,-6.4416,-47.4824,3.00,252.0823,0.0021,0.0715,0.9654,0.2508,0.00,3.00,0.0319,0.0578,0.6803,0.7299,3.00,116.332157,39.950710,0.4600,256.7000,1649404076000,0.0
1649404076711,-1.3298,-1.6711,3.8772,3.00,-0.5010,1.1904,9.7212,3.00,-0.1520,0.5037,0.3183,3.00,-1.4742,-0.0335,12.8850,3.00,32.3422,-6.4538,-47.2872,3.00,256.1749,-0.0042,0.0659,0.9659,0.2504,0.00,3.00,0.0270,0.0602,0.6810,0.7293,3.00,116.332157,39.950710,0.4600,256.7000,1649404076000,0.0
1649404076730,-0.9006,-1.2652,3.1321,3.00,-0.5712,1.2267,9.7128,3.00,0.1993,0.3864,0.4252,3.00,-0.5273,0.8918,10.5484,3.00,32.6838,-6.4904,-47.1652,3.00,265.5322,-0.0097,0.0653,0.9666,0.2477,0.00,3.00,0.0257,0.0642,0.6836,0.7266,3.00,116.332157,39.950710,0.4600,256.7000,1649404076000,0.0
1649404076750,0.0929,-0.3790,0.7996,3.00,-0.6175,1.2651,9.7051,3.00,0.1822,0.2819,0.3647,3.00,-0.5488,1.1731,9.1000,3.00,33.0132,-6.5514,-46.9700,3.00,269.5048,-0.0130,0.0679,0.9673,0.2442,0.00,3.00,0.0252,0.0674,0.6868,0.7233,3.00,116.332157,39.950710,0.4600,256.7000,1649404076000,0.0
1649404076769,0.1044,-0.1059,-0.6423,3.00,-0.6505,1.2737,9.7018,3.00,0.0221,0.2098,0.3256,3.00,-0.7966,1.0127,9.0186,3.00,33.3914,-6.5392,-46.7260,3.00,268.0391,-0.0150,0.0704,0.9678,0.2410,0.00,3.00,0.0240,0.0690,0.6896,0.7205,3.00,116.332157,39.950710,0.4600,256.7000,1649404076000,0.0
